gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,MonthlyCharges_Tenure
0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,2,29.85
1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,1936.3000000000002
1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,2,107.7
1,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,1903.4999999999998
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,2,141.4
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,2,797.2
1,0,0,1,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,1,1960.1999999999998
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,2,297.5
0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,0,2934.4
1,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,3481.2999999999997
1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,1,649.35
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,1,303.2
1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,5820.299999999999
1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,0,5081.3
1,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,2637.5
0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,7814.25
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,1073.8
1,0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,7575.7
0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,2,552.0
0,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,1,1891.05
1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,2,39.65
1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,2,237.60000000000002
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,2,20.15
0,0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,3474.2
1,0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,2920.4
0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,1659.0
1,0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,0,4669.45
1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,2,30.2
1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,6498.0
0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1099.9
0,1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,6840.849999999999
1,1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,2,191.0
0,0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,1786.0500000000002
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,2,20.2
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,2,45.25
0,0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,7192.8
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,2,348.5
0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,3440.7999999999997
1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,0,3615.8999999999996
0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,2,1076.35
1,0,1,1,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,2,495.5
0,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,4844.0
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,1,352.75
0,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,5030.549999999999
0,0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,1,990.6
0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,4140.5
1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,2,98.5
0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,2,161.3
1,0,0,0,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,4147.0
0,0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,4426.35
0,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,3880.75
0,0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1486.5
0,1,1,0,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,1737.5
0,1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,2,645.2
0,1,1,1,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,4491.0
1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1718.1000000000001
